"Date","Price","Open","High","Low","Change %"
"May 10, 2019","0.2527","0.2533","0.2539","0.2516","-0.28%"
"May 09, 2019","0.2534","0.2546","0.2546","0.2511","-0.43%"
"May 08, 2019","0.2545","0.2519","0.2547","0.2505","1.03%"
"May 07, 2019","0.2519","0.2520","0.2522","0.2500","-0.04%"
"May 06, 2019","0.2520","0.2540","0.2540","0.2515","-0.75%"
"May 05, 2019","0.2539","0.2539","0.2539","0.2539","-0.03%"
"May 03, 2019","0.2540","0.2522","0.2545","0.2520","0.75%"
"May 02, 2019","0.2521","0.2550","0.2554","0.2517","-1.14%"
"May 01, 2019","0.2550","0.2550","0.2554","0.2550","0.00%"
"Apr 30, 2019","0.2550","0.2535","0.2555","0.2527","0.55%"
"Apr 29, 2019","0.2536","0.2545","0.2550","0.2535","-0.35%"
"Apr 26, 2019","0.2545","0.2532","0.2551","0.2515","0.63%"
"Apr 25, 2019","0.2529","0.2506","0.2535","0.2497","0.96%"
"Apr 24, 2019","0.2505","0.2550","0.2552","0.2504","-1.76%"
"Apr 23, 2019","0.2550","0.2541","0.2557","0.2523","0.39%"
"Apr 22, 2019","0.2540","0.2546","0.2555","0.2539","-0.24%"
"Apr 19, 2019","0.2546","0.2546","0.2546","0.2546","0.00%"
"Apr 18, 2019","0.2546","0.2539","0.2562","0.2531","0.24%"
"Apr 17, 2019","0.2540","0.2560","0.2574","0.2534","-0.82%"
"Apr 16, 2019","0.2561","0.2582","0.2586","0.2559","-0.81%"
"Apr 15, 2019","0.2582","0.2576","0.2591","0.2571","0.23%"
"Apr 14, 2019","0.2576","0.2576","0.2576","0.2576","0.00%"
"Apr 12, 2019","0.2576","0.2591","0.2594","0.2559","-0.62%"
"Apr 11, 2019","0.2592","0.2615","0.2615","0.2589","-0.88%"
"Apr 10, 2019","0.2615","0.2596","0.2621","0.2594","0.69%"
"Apr 09, 2019","0.2597","0.2597","0.2600","0.2587","0.00%"
"Apr 08, 2019","0.2597","0.2581","0.2604","0.2580","0.62%"
"Apr 05, 2019","0.2581","0.2591","0.2602","0.2580","-0.39%"
"Apr 04, 2019","0.2591","0.2585","0.2600","0.2571","0.27%"
"Apr 03, 2019","0.2584","0.2594","0.2608","0.2575","-0.39%"
"Apr 02, 2019","0.2594","0.2596","0.2596","0.2577","-0.08%"
"Apr 01, 2019","0.2596","0.2571","0.2599","0.2569","1.88%"
"Mar 29, 2019","0.2548","0.2564","0.2586","0.2543","-0.62%"
"Mar 28, 2019","0.2564","0.2505","0.2566","0.2490","2.40%"
"Mar 27, 2019","0.2504","0.2580","0.2582","0.2498","-2.91%"
"Mar 26, 2019","0.2579","0.2595","0.2608","0.2577","-0.62%"
"Mar 25, 2019","0.2595","0.2561","0.2601","0.2540","1.37%"
"Mar 22, 2019","0.2560","0.2637","0.2637","0.2554","-2.88%"
"Mar 21, 2019","0.2636","0.2650","0.2657","0.2606","-0.45%"
"Mar 20, 2019","0.2648","0.2637","0.2676","0.2632","0.30%"
"Mar 19, 2019","0.2640","0.2637","0.2656","0.2631","0.11%"
"Mar 18, 2019","0.2637","0.2620","0.2643","0.2612","0.66%"
"Mar 17, 2019","0.2620","0.2620","0.2620","0.2620","-0.09%"
"Mar 15, 2019","0.2622","0.2601","0.2626","0.2582","0.77%"
"Mar 14, 2019","0.2602","0.2621","0.2622","0.2595","-0.76%"
"Mar 13, 2019","0.2622","0.2625","0.2632","0.2608","-0.04%"
"Mar 12, 2019","0.2623","0.2603","0.2630","0.2600","0.73%"
"Mar 11, 2019","0.2604","0.2586","0.2609","0.2586","0.70%"
"Mar 08, 2019","0.2586","0.2583","0.2597","0.2561","0.08%"
"Mar 07, 2019","0.2584","0.2604","0.2620","0.2562","-0.77%"
"Mar 06, 2019","0.2604","0.2647","0.2649","0.2600","-1.66%"
"Mar 05, 2019","0.2648","0.2648","0.2648","0.2648","0.00%"
"Mar 04, 2019","0.2648","0.2648","0.2648","0.2648","-0.04%"
"Mar 03, 2019","0.2649","0.2649","0.2649","0.2649","0.00%"
