"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2019","13,531.60","13,454.40","13,558.40","13,454.40","8.88M","1.08%"
"May 09, 2019","13,386.40","13,549.00","13,572.00","13,375.80","12.33M","-1.46%"
"May 08, 2019","13,585.20","13,616.40","13,659.10","13,551.80","9.99M","-0.29%"
"May 07, 2019","13,625.30","13,698.00","13,765.30","13,580.20","10.98M","-0.57%"
"May 06, 2019","13,703.00","13,743.10","13,743.10","13,619.40","6.40M","-0.92%"
"May 03, 2019","13,830.20","13,816.00","13,843.50","13,785.90","6.30M","0.14%"
"May 02, 2019","13,811.00","13,854.50","13,856.80","13,736.10","8.73M","0.34%"
"Apr 30, 2019","13,763.90","13,741.90","13,790.50","13,713.20","7.51M","0.15%"
"Apr 29, 2019","13,743.00","13,678.10","13,791.80","13,671.20","5.90M","0.35%"
"Apr 26, 2019","13,694.40","13,627.30","13,706.90","13,595.40","6.60M","0.31%"
"Apr 25, 2019","13,651.70","13,617.30","13,661.00","13,585.80","7.92M","0.24%"
"Apr 24, 2019","13,619.00","13,633.50","13,690.30","13,611.10","10.74M","-0.53%"
"Apr 23, 2019","13,691.80","13,742.20","13,775.10","13,657.80","9.17M","-0.61%"
"Apr 18, 2019","13,775.50","13,791.40","13,802.50","13,708.50","8.97M","-0.00%"
"Apr 17, 2019","13,775.70","13,700.80","13,791.60","13,680.30","9.32M","0.39%"
"Apr 16, 2019","13,722.20","13,751.20","13,796.40","13,690.10","9.94M","-0.23%"
"Apr 15, 2019","13,754.20","13,724.30","13,776.00","13,717.20","9.48M","0.50%"
"Apr 12, 2019","13,685.70","13,665.70","13,707.20","13,605.70","11.12M","0.12%"
"Apr 11, 2019","13,669.90","13,602.30","13,695.60","13,568.60","16.90M","0.98%"
"Apr 10, 2019","13,537.90","13,627.50","13,630.30","13,531.00","21.57M","-0.85%"
"Apr 09, 2019","13,654.50","13,730.10","13,730.10","13,624.30","9.20M","-0.50%"
"Apr 08, 2019","13,722.70","13,811.30","13,822.10","13,706.40","7.41M","-0.56%"
"Apr 05, 2019","13,800.60","13,818.50","13,858.90","13,780.60","5.27M","0.05%"
"Apr 04, 2019","13,794.30","13,831.00","13,850.30","13,765.30","6.97M","-0.29%"
"Apr 03, 2019","13,834.80","13,851.40","13,880.70","13,797.40","7.57M","0.29%"
"Apr 02, 2019","13,795.40","13,782.90","13,828.00","13,762.00","8.25M","0.19%"
"Apr 01, 2019","13,769.20","13,701.20","13,788.20","13,686.90","17.58M","1.18%"
"Mar 29, 2019","13,608.10","13,480.90","13,630.30","13,468.40","10.54M","1.27%"
"Mar 28, 2019","13,436.80","13,488.40","13,505.10","13,432.90","8.61M","-0.57%"
"Mar 27, 2019","13,513.60","13,497.60","13,568.00","13,438.80","9.31M","0.28%"
"Mar 26, 2019","13,475.20","13,479.40","13,507.80","13,366.80","9.71M","0.33%"
"Mar 25, 2019","13,431.50","13,534.70","13,537.20","13,426.10","8.89M","-1.00%"
"Mar 22, 2019","13,567.70","13,769.30","13,805.60","13,566.60","11.50M","-1.30%"
"Mar 21, 2019","13,746.50","13,779.70","13,793.60","13,699.60","8.83M","-0.25%"
"Mar 20, 2019","13,781.10","13,853.90","13,862.70","13,779.70","5.21M","-0.57%"
"Mar 19, 2019","13,859.70","13,770.90","13,889.90","13,767.30","8.31M","0.76%"
"Mar 18, 2019","13,755.70","13,666.20","13,755.70","13,660.10","10.17M","0.71%"
"Mar 15, 2019","13,658.10","13,642.60","13,700.10","13,630.80","11.98M","0.25%"
"Mar 14, 2019","13,624.60","13,601.70","13,684.40","13,580.60","7.29M","0.18%"
"Mar 13, 2019","13,600.00","13,558.10","13,632.80","13,555.50","10.04M","-0.03%"
"Mar 12, 2019","13,603.50","13,566.60","13,635.20","13,531.90","7.86M","0.29%"
"Mar 11, 2019","13,564.50","13,542.30","13,564.50","13,472.90","8.02M","0.29%"
"Mar 08, 2019","13,525.80","13,651.40","13,659.40","13,501.70","12.25M","-1.32%"
"Mar 07, 2019","13,706.20","13,853.70","13,856.50","13,667.50","10.62M","-1.05%"
"Mar 06, 2019","13,851.10","13,922.70","13,940.90","13,851.10","7.99M","-0.72%"
"Mar 05, 2019","13,951.40","13,931.40","13,967.30","13,847.30","9.91M","-0.06%"
"Mar 04, 2019","13,959.60","13,953.40","13,995.20","13,904.80","8.60M","0.50%"
