"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2018","6,341.42","6,399.27","6,413.49","6,290.06","185.89M","-1.25%"
"Mar 21, 2018","6,421.62","6,429.90","6,438.66","6,401.58","143.63M","-0.08%"
"Mar 20, 2018","6,426.96","6,400.38","6,429.21","6,379.64","146.82M","0.50%"
"Mar 19, 2018","6,394.93","6,430.77","6,431.94","6,379.46","154.45M","-0.84%"
"Mar 16, 2018","6,448.96","6,443.15","6,472.26","6,435.11","285.48M","0.07%"
"Mar 15, 2018","6,444.67","6,417.36","6,453.13","6,404.18","160.48M","0.57%"
"Mar 14, 2018","6,408.38","6,418.52","6,450.35","6,397.40","151.48M","-0.17%"
"Mar 13, 2018","6,419.59","6,465.92","6,493.80","6,398.15","184.80M","-0.64%"
"Mar 12, 2018","6,461.08","6,469.24","6,486.98","6,444.00","162.36M","0.18%"
"Mar 09, 2018","6,449.32","6,417.30","6,464.76","6,408.63","174.75M","0.41%"
"Mar 08, 2018","6,422.67","6,346.19","6,435.99","6,343.79","181.94M","1.24%"
"Mar 07, 2018","6,343.88","6,308.42","6,358.18","6,282.64","194.70M","0.39%"
"Mar 06, 2018","6,319.50","6,329.85","6,360.08","6,319.42","192.65M","0.31%"
"Mar 05, 2018","6,300.22","6,247.04","6,310.37","6,244.66","227.78M","0.53%"
"Mar 02, 2018","6,267.31","6,370.54","6,370.54","6,248.20","259.60M","-2.10%"
"Mar 01, 2018","6,401.60","6,454.70","6,461.65","6,378.15","197.56M","-0.99%"
"Feb 28, 2018","6,465.85","6,478.33","6,504.06","6,459.19","166.20M","-0.46%"
"Feb 27, 2018","6,495.76","6,511.10","6,521.43","6,481.28","159.70M","-0.09%"
"Feb 26, 2018","6,501.83","6,487.83","6,521.00","6,487.83","177.49M","0.49%"
"Feb 23, 2018","6,470.09","6,468.54","6,473.87","6,438.72","177.26M","0.21%"
"Feb 22, 2018","6,456.27","6,437.84","6,467.51","6,397.97","236.63M","-0.04%"
"Feb 21, 2018","6,458.80","6,438.07","6,460.06","6,404.98","186.90M","0.27%"
"Feb 20, 2018","6,441.20","6,411.05","6,448.39","6,405.98","166.37M","0.48%"
"Feb 19, 2018","6,410.56","6,447.31","6,455.51","6,401.92","156.60M","-0.40%"
"Feb 16, 2018","6,436.06","6,388.42","6,448.23","6,388.42","255.91M","1.08%"
"Feb 15, 2018","6,367.11","6,328.53","6,400.23","6,328.53","261.05M","0.98%"
"Feb 14, 2018","6,305.10","6,258.49","6,328.23","6,220.97","246.02M","1.06%"
"Feb 13, 2018","6,239.02","6,273.78","6,292.09","6,239.02","209.35M","-0.53%"
"Feb 12, 2018","6,272.02","6,238.12","6,300.04","6,238.12","195.94M","1.20%"
"Feb 09, 2018","6,197.57","6,252.29","6,274.87","6,164.80","268.35M","-1.21%"
"Feb 08, 2018","6,273.58","6,372.75","6,384.84","6,252.31","253.49M","-1.97%"
"Feb 07, 2018","6,399.82","6,310.24","6,414.80","6,293.28","237.77M","1.98%"
"Feb 06, 2018","6,275.37","6,287.53","6,342.29","6,206.45","343.53M","-2.30%"
"Feb 05, 2018","6,423.32","6,492.78","6,492.78","6,416.81","231.13M","-1.52%"
"Feb 02, 2018","6,522.31","6,602.74","6,607.78","6,520.78","210.43M","-1.48%"
"Feb 01, 2018","6,620.33","6,649.48","6,691.52","6,600.97","195.29M","-0.16%"
"Jan 31, 2018","6,630.77","6,623.94","6,645.21","6,617.89","182.48M","0.22%"
"Jan 30, 2018","6,616.01","6,643.92","6,663.74","6,606.83","208.85M","-0.71%"
"Jan 29, 2018","6,663.30","6,674.86","6,683.94","6,660.51","162.71M","-0.11%"
"Jan 26, 2018","6,670.36","6,621.97","6,679.60","6,621.97","143.03M","0.93%"
"Jan 25, 2018","6,608.97","6,636.95","6,660.48","6,585.95","172.02M","-0.39%"
"Jan 24, 2018","6,634.89","6,681.74","6,683.18","6,634.89","199.52M","-0.75%"
"Jan 23, 2018","6,684.92","6,707.22","6,715.13","6,671.83","208.44M","-0.05%"
"Jan 22, 2018","6,688.45","6,669.99","6,689.45","6,656.01","173.07M","0.30%"
"Jan 19, 2018","6,668.47","6,628.87","6,673.12","6,626.92","173.20M","0.57%"
"Jan 18, 2018","6,630.65","6,646.72","6,655.93","6,609.44","228.08M","-0.04%"
"Jan 17, 2018","6,633.56","6,635.51","6,655.48","6,617.73","180.96M","-0.19%"
"Jan 16, 2018","6,646.41","6,635.92","6,665.23","6,634.30","158.24M","0.22%"
"Jan 15, 2018","6,631.76","6,636.81","6,645.50","6,621.98","136.97M","-0.03%"
"Jan 12, 2018","6,633.44","6,614.99","6,637.39","6,607.10","179.34M","0.36%"
"Jan 11, 2018","6,609.68","6,642.44","6,644.36","6,601.63","246.80M","-0.39%"
"Jan 10, 2018","6,635.55","6,658.71","6,661.45","6,619.79","304.91M","-0.37%"
"Jan 09, 2018","6,659.95","6,621.44","6,661.98","6,621.44","190.66M","0.62%"
"Jan 08, 2018","6,619.01","6,612.33","6,632.11","6,612.28","178.67M","0.24%"
"Jan 05, 2018","6,603.36","6,548.65","6,603.36","6,548.65","186.04M","0.92%"
"Jan 04, 2018","6,542.94","6,475.42","6,557.91","6,475.42","208.34M","1.36%"
"Jan 03, 2018","6,454.92","6,411.75","6,471.77","6,411.75","168.37M","0.78%"
"Jan 02, 2018","6,405.19","6,431.12","6,431.68","6,371.64","126.84M","-0.29%"
"Dec 29, 2017","6,423.52","6,446.65","6,452.88","6,421.01","83.10M","-0.38%"
"Dec 28, 2017","6,447.76","6,473.34","6,475.95","6,439.17","87.24M","-0.41%"
"Dec 27, 2017","6,474.50","6,454.76","6,484.26","6,450.96","94.41M","0.14%"
"Dec 22, 2017","6,465.30","6,479.67","6,486.58","6,456.35","105.21M","-0.33%"
"Dec 21, 2017","6,487.00","6,441.68","6,489.08","6,424.54","134.92M","0.50%"
"Dec 20, 2017","6,454.89","6,486.81","6,486.85","6,440.55","131.89M","-0.53%"
"Dec 19, 2017","6,489.40","6,517.88","6,525.33","6,485.65","138.89M","-0.48%"
"Dec 18, 2017","6,520.82","6,454.60","6,529.43","6,454.60","159.64M","1.40%"
"Dec 15, 2017","6,430.48","6,427.72","6,439.72","6,409.46","266.79M","-0.14%"
"Dec 14, 2017","6,439.41","6,477.02","6,482.36","6,439.41","151.10M","-0.67%"
"Dec 13, 2017","6,482.83","6,500.18","6,510.25","6,477.23","156.78M","-0.38%"
"Dec 12, 2017","6,507.41","6,479.44","6,507.41","6,442.06","162.14M","0.54%"
"Dec 11, 2017","6,472.70","6,493.57","6,496.10","6,467.26","120.38M","-0.16%"
"Dec 08, 2017","6,483.00","6,486.71","6,503.03","6,476.43","148.16M","0.31%"
"Dec 07, 2017","6,462.87","6,454.65","6,472.03","6,442.30","133.99M","0.15%"
"Dec 06, 2017","6,453.15","6,421.94","6,464.14","6,386.31","138.90M","0.00%"
"Dec 05, 2017","6,453.02","6,459.90","6,463.98","6,424.85","135.87M","-0.20%"
"Dec 04, 2017","6,465.63","6,430.83","6,481.48","6,430.83","138.06M","1.07%"
"Dec 01, 2017","6,397.31","6,457.80","6,461.41","6,377.75","166.33M","-0.93%"
"Nov 30, 2017","6,457.17","6,473.86","6,502.88","6,456.36","251.98M","-0.18%"
"Nov 29, 2017","6,468.93","6,480.20","6,516.21","6,464.70","153.43M","0.14%"
"Nov 28, 2017","6,460.09","6,432.52","6,465.94","6,427.12","114.75M","0.48%"
"Nov 27, 2017","6,429.44","6,449.58","6,480.47","6,429.44","120.82M","-0.45%"
"Nov 24, 2017","6,458.55","6,446.88","6,489.00","6,444.33","108.32M","0.15%"
"Nov 23, 2017","6,448.64","6,410.88","6,456.65","6,394.65","119.37M","0.47%"
"Nov 22, 2017","6,418.78","6,434.71","6,457.97","6,418.78","133.13M","-0.25%"
"Nov 21, 2017","6,434.77","6,405.68","6,451.56","6,389.21","144.88M","0.47%"
"Nov 20, 2017","6,404.84","6,371.09","6,411.50","6,357.98","134.81M","0.43%"
"Nov 17, 2017","6,377.71","6,400.13","6,407.44","6,361.36","157.07M","-0.33%"
"Nov 16, 2017","6,399.09","6,373.52","6,405.24","6,366.86","141.80M","0.70%"
"Nov 15, 2017","6,354.43","6,371.70","6,371.70","6,316.10","182.17M","-0.34%"
"Nov 14, 2017","6,376.22","6,403.82","6,427.65","6,364.92","164.88M","-0.33%"
"Nov 13, 2017","6,397.39","6,452.97","6,453.40","6,355.32","175.11M","-0.91%"
"Nov 10, 2017","6,456.43","6,492.23","6,494.39","6,451.43","186.84M","-0.52%"
"Nov 09, 2017","6,489.96","6,559.68","6,564.73","6,482.43","187.20M","-1.07%"
"Nov 08, 2017","6,560.22","6,573.27","6,584.96","6,537.26","178.19M","-0.10%"
"Nov 07, 2017","6,566.58","6,610.21","6,616.65","6,560.93","157.58M","-0.48%"
"Nov 06, 2017","6,598.16","6,602.77","6,603.94","6,584.20","156.75M","-0.12%"
"Nov 03, 2017","6,606.34","6,591.37","6,607.40","6,580.96","163.65M","0.28%"
